Scenario,AnnotatedObstacleID,IsCollisionScenario,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,CorrectlyIdentified,CorrectCollisionIdentification,JsonFormat
ARG_Carcarana-12_1_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'N/A'}]",['None'],None,False,False,False,False,False,True
ARG_Carcarana-4_4_T-1,none,False,[],[],,False,False,False,False,False,True
BEL_Aarschot-1_1_T-1,none,True,"[{'ObstacleID': '32', 'OverallRiskScore': '1'}]",[32],32,False,False,False,False,False,True
BEL_Antwerp-18_4_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
BEL_Antwerp-1_14_T-1,none,False,"[{'ObstacleID': '', 'OverallRiskScore': '5'}]",[''],,False,False,False,False,False,True
BEL_Antwerp-30_1_T-1,none,True,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],30638,False,False,False,False,False,True
BEL_Antwerp-3_11_T-1,none,False,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],,False,False,False,False,False,True
BEL_Antwerp-3_1_T-1,none,False,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],,False,False,False,False,False,True
BEL_Antwerp-40_3_T-1,none,True,"[{'ObstacleID': '30660', 'OverallRiskScore': '1'}]",[30660],30660,False,False,False,False,False,True
BEL_Antwerp-40_6_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
BEL_Antwerp-41_1_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'N/A'}]",['None'],None,False,False,False,False,False,True
BEL_Antwerp-48_1_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': 'N/A'}]",[None],,False,False,False,False,False,True
BEL_Antwerp-50_1_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,False,True
BEL_Antwerp-59_1_T-1,none,False,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],,False,False,False,False,False,True
BEL_Antwerp-5_13_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,False,True
BEL_Antwerp-8_7_T-1,none,False,"[{'ObstacleID': 'N/A', 'OverallRiskScore': 'N/A'}]",['N/A'],N/A,False,False,False,False,False,True
BEL_Brussels-11_18_T-1,none,False,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],,False,False,False,False,False,True
BEL_Brussels-29_1_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
BEL_Brussels-38_2_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],None,False,False,False,False,False,True
BEL_Brussels-38_5_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,False,True
BEL_Brussels-3_1_T-1,none,False,"[{'ObstacleID': 'none', 'OverallRiskScore': 'none'}]",['none'],none,True,True,False,True,False,True
BEL_Brussels-40_4_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'Not applicable'}]",['None'],None,False,False,False,False,False,True
BEL_Brussels-50_20_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],None,False,False,False,False,False,True
BEL_Brussels-52_1_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,False,True
BEL_Brussels-62_3_T-1,none,False,"[{'ObstacleID': '30206', 'OverallRiskScore': '3'}]",[30206],None,False,False,False,False,False,True
BEL_Brussels-65_11_T-1,none,False,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],,False,False,False,False,False,True
BEL_Brussels-68_1_T-1,none,False,[],[],,False,False,False,False,False,True
BEL_Brussels-6_1_T-1,none,False,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],,False,False,False,False,False,True
BEL_Brussels-6_6_T-1,none,False,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],,False,False,False,False,False,True
BEL_Brussels-75_2_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': '5'}]",[None],,False,False,False,False,False,True
BEL_Brussels-78_3_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': '5'}]",[None],,False,False,False,False,False,True
BEL_Brussels-79_2_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,False,True
BEL_Brussels-80_13_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,False,True
BEL_Brussels-80_24_T-1,none,False,[],[],{},False,False,False,False,False,True
BEL_Brussels-82_1_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': '0'}]",[None],,False,False,False,False,False,True
BEL_Leuven-12_2_T-1,none,False,[],[],,False,False,False,False,False,True
BEL_Leuven-18_4_T-1,none,True,"[{'ObstacleID': '30241', 'OverallRiskScore': '0'}]",[30241],,False,False,False,False,False,True
BEL_Leuven-19_1_T-1,none,True,"[{'ObstacleID': '30167', 'OverallRiskScore': '0'}]",[30167],30170,False,False,False,False,False,True
BEL_Leuven-24_13_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
BEL_Leuven-24_19_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
BEL_Leuven-24_2_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'N/A'}]",['None'],None,False,False,False,False,False,True
BEL_Leuven-24_42_T-1,none,False,"[{'ObstacleID': 'N/A', 'OverallRiskScore': 'N/A'}]",['N/A'],N/A,False,False,False,False,False,True
BEL_Leuven-34_2_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],None,False,False,False,False,False,True
BEL_Leuven-39_3_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'N/A'}]",['None'],None,False,False,False,False,False,True
BEL_Leuven-39_7_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'NA'}]",['None'],None,False,False,False,False,False,True
BEL_Leuven-43_1_T-1,none,False,[],[],,False,False,False,False,False,True
BEL_Leuven-46_10_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
BEL_Leuven-48_2_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'N/A'}]",['None'],None,False,False,False,False,False,True
BEL_Leuven-5_7_T-1,none,True,[],[],30301,False,False,False,False,False,True
BEL_Leuven-5_9_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
BEL_Leuven-6_15_T-1,none,False,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],,False,False,False,False,False,True
