Scenario,AnnotatedObstacleID,IsCollisionScenario,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,CorrectlyIdentified,CorrectCollisionIdentification,JsonFormat
ARG_Carcarana-1_8_T-1,341,False,[],[],341,False,False,True,True,False,True
BEL_Antwerp-10_7_T-1,30736,True,"[{'ObstacleID': '30736', 'OverallRiskScore': 0}]",[30736],,True,True,False,True,True,True
BEL_Antwerp-13_5_T-1,30674,True,"[{'ObstacleID': '30674', 'OverallRiskScore': 0}]",[30674],,True,True,False,True,True,True
BEL_Brussels-51_2_T-1,30196,False,[],[],30196,False,False,True,True,False,True
BEL_Brussels-82_4_T-1,30233,False,[],[],30233,False,False,True,True,False,True
BEL_Zwevegem-1_6_T-1,333,True,"[{'ObstacleID': '333', 'OverallRiskScore': 0}]",[333],,True,True,False,True,True,True
CHN_Beijing-3_5_T-1,3107,True,"[{'ObstacleID': '3107', 'OverallRiskScore': 0}]",[3107],,True,True,False,True,True,True
CHN_Qingdao-18_2_T-1,30655,True,"[{'ObstacleID': '30655', 'OverallRiskScore': 0}]",[30655],,True,True,False,True,True,True
DEU_Aschaffenburg-15_26_T-1,30441,False,[],[],30441,False,False,True,True,False,True
DEU_Aschaffenburg-21_21_T-1,30285,True,"[{'ObstacleID': '30285', 'OverallRiskScore': 0}]",[30285],,True,True,False,True,True,True
DEU_Aschaffenburg-64_5_T-1,30195,True,"[{'ObstacleID': '30195', 'OverallRiskScore': 0}]",[30195],,True,True,False,True,True,True
DEU_Backnang-2_1_T-1,33,True,"[{'ObstacleID': '33', 'OverallRiskScore': 0}]",[33],,True,True,False,True,True,True
DEU_Bonn-19_2_T-1,30202,True,"[{'ObstacleID': '30202', 'OverallRiskScore': 0}]",[30202],,True,True,False,True,True,True
DEU_Bonn-35_11_T-1,30200,True,"[{'ObstacleID': '30200', 'OverallRiskScore': 0}]",[30200],,True,True,False,True,True,True
DEU_Bonn-38_18_T-1,30234,True,"[{'ObstacleID': '30234', 'OverallRiskScore': 0}]",[30234],,True,True,False,True,True,True
DEU_Bonn-38_4_T-1,30234,False,[],[],30228,False,False,False,False,False,True
DEU_Bremen-1_10_T-1,30295,True,"[{'ObstacleID': '30308', 'OverallRiskScore': 0}]",[30308],,False,False,False,False,False,True
DEU_Bremen-33_33_T-1,30274,False,[],[],30274,False,False,True,True,False,True
DEU_Bremen-7_12_T-1,30299,False,[],[],30299,False,False,True,True,False,True
DEU_Bremen-7_23_T-1,30306,False,[],[],30306,False,False,True,True,False,True
DEU_Flensburg-62_1_T-1,367,True,"[{'ObstacleID': '367', 'OverallRiskScore': 0}]",[367],,True,True,False,True,True,True
DEU_Guetersloh-32_1_T-1,33,False,[],[],33,False,False,True,True,False,True
DEU_Hanover-38_33_T-1,30688,False,[],[],30688,False,False,True,True,False,True
DEU_Hanover-44_28_T-1,30730,True,"[{'ObstacleID': '30730', 'OverallRiskScore': 0}]",[30730],30733,True,True,False,True,True,True
DEU_Hanover-45_17_T-1,30700,False,[],[],30700,False,False,True,True,False,True
DEU_Hennigsdorf-5_3_T-1,342,True,"[{'ObstacleID': '342', 'OverallRiskScore': 0}]",[342],,True,True,False,True,True,True
DEU_Kiel-52_2_T-1,30666,False,[],[],30667,False,False,False,False,False,True
DEU_Leipzig-13_19_T-1,3254,False,[],[],3254,False,False,True,True,False,True
DEU_Leipzig-13_7_T-1,3254,True,"[{'ObstacleID': '3254', 'OverallRiskScore': 0}, {'ObstacleID': '3261', 'OverallRiskScore': 0}]","[3254, 3261]",,True,False,False,False,False,True
DEU_Leipzig-37_8_T-1,3074,True,"[{'ObstacleID': '3074', 'OverallRiskScore': 0}]",[3074],3075,True,True,False,True,True,True
DEU_Leipzig-63_24_T-1,3261,True,"[{'ObstacleID': '3261', 'OverallRiskScore': 0}]",[3261],,True,True,False,True,True,True
DEU_Lengede-44_1_T-6,109,False,[],[],,False,False,False,False,False,True
DEU_Memmingen-138_1_T-4,20036,True,"[{'ObstacleID': '20036', 'OverallRiskScore': 0}]",[20036],,True,True,False,True,True,True
DEU_Memmingen-1_1_T-5,20052,True,"[{'ObstacleID': '20052', 'OverallRiskScore': 0}]",[20052],,True,True,False,True,True,True
DEU_Muehlhausen-10_5_T-1,315,True,"[{'ObstacleID': '315', 'OverallRiskScore': 0}]",[315],,True,True,False,True,True,True
DEU_Muehlhausen-5_1_T-1,330,True,"[{'ObstacleID': '330', 'OverallRiskScore': 0}]",[330],,True,True,False,True,True,True
DEU_Nuremberg-24_13_T-1,30716,False,[],[],30716,False,False,True,True,False,True
DEU_Nuremberg-27_1_T-1,30628,False,[],[],30628,False,False,True,True,False,True
DEU_Nuremberg-29_9_T-1,30786,True,"[{'ObstacleID': '30786', 'OverallRiskScore': 0}]",[30786],,True,True,False,True,True,True
DEU_Nuremberg-30_6_T-1,30604,False,[],[],,False,False,False,False,False,True
DEU_Nuremberg-6_21_T-1,30803,False,[],[],30803,False,False,True,True,False,True
DEU_Nuremberg-6_34_T-1,30796,False,[],[],30796,False,False,True,True,False,True
DEU_Salzwedel-74_1_T-4,20071,True,"[{'ObstacleID': '20071', 'OverallRiskScore': 0}]",[20071],,True,True,False,True,True,True
DEU_Salzwedel-80_1_T-2,20029,True,"[{'ObstacleID': '20029', 'OverallRiskScore': 0}]",[20029],,True,True,False,True,True,True
DEU_Schopfloch-6_1_T-2,20057,True,"[{'ObstacleID': '20057', 'OverallRiskScore': 0}]",[20057],,True,True,False,True,True,True
DEU_Schweitenkirchen-4_1_T-12,426,True,"[{'ObstacleID': '426', 'OverallRiskScore': 0}]",[426],431,True,True,False,True,True,True
DEU_Schweitenkirchen-5_1_T-36,625,True,"[{'ObstacleID': '625', 'OverallRiskScore': 0}]",[625],,True,True,False,True,True,True
DEU_Schwetzingen-10_1_T-5,20130,True,"[{'ObstacleID': '20130', 'OverallRiskScore': 0}]",[20130],,True,True,False,True,True,True
DEU_Schwetzingen-112_1_T-1,20046,True,"[{'ObstacleID': '20046', 'OverallRiskScore': 0}]",[20046],20045,True,True,False,True,True,True
DEU_Schwetzingen-174_1_T-4,20111,True,"[{'ObstacleID': '20111', 'OverallRiskScore': 0}]",[20111],,True,True,False,True,True,True
DEU_Schwetzingen-180_1_T-2,20094,False,[],[],20020,False,False,False,False,False,True
DEU_Schwetzingen-74_1_T-4,20064,True,"[{'ObstacleID': '20064', 'OverallRiskScore': 0}]",[20064],,True,True,False,True,True,True
DEU_Weimar-57_1_T-1,17,True,"[{'ObstacleID': '17', 'OverallRiskScore': 0}]",[17],,True,True,False,True,True,True
DEU_Weimar-68_1_T-3,60,True,"[{'ObstacleID': '60', 'OverallRiskScore': 0}]",[60],,True,True,False,True,True,True
DEU_Wolfsburg-39_1_T-8,20148,True,"[{'ObstacleID': '20148', 'OverallRiskScore': 0}]",[20148],,True,True,False,True,True,True
ESP_Barcelona-10_44_T-1,30749,True,"[{'ObstacleID': '30749', 'OverallRiskScore': 0}]",[30749],30735,True,True,False,True,True,True
ESP_Barcelona-12_43_T-1,30716,True,"[{'ObstacleID': '30716', 'OverallRiskScore': 0}]",[30716],,True,True,False,True,True,True
ESP_Barcelona-21_6_T-1,30681,False,[],[],30681,False,False,True,True,False,True
ESP_Barcelona-38_52_T-1,30739,True,"[{'ObstacleID': '30739', 'OverallRiskScore': 0}]",[30739],,True,True,False,True,True,True
ESP_Barcelona-39_11_T-1,30813,True,"[{'ObstacleID': '30813', 'OverallRiskScore': 0}]",[30813],,True,True,False,True,True,True
ESP_Barcelona-39_27_T-1,30810,True,"[{'ObstacleID': '30810', 'OverallRiskScore': 0}]",[30810],30805,True,True,False,True,True,True
ESP_Barcelona-3_13_T-1,30764,True,"[{'ObstacleID': '30764', 'OverallRiskScore': 0}]",[30764],,True,True,False,True,True,True
ESP_Barcelona-3_6_T-1,30764,True,"[{'ObstacleID': '30764', 'OverallRiskScore': 0}]",[30764],,True,True,False,True,True,True
ESP_Barcelona-44_19_T-1,30743,True,"[{'ObstacleID': '30743', 'OverallRiskScore': 0}]",[30743],,True,True,False,True,True,True
ESP_Barcelona-44_27_T-1,30760,True,"[{'ObstacleID': '30760', 'OverallRiskScore': 0}]",[30760],,True,True,False,True,True,True
ESP_Barcelona-49_21_T-1,30784,True,"[{'ObstacleID': '30784', 'OverallRiskScore': 0}]",[30784],30786,True,True,False,True,True,True
ESP_Barcelona-6_18_T-1,30746,True,"[{'ObstacleID': '30746', 'OverallRiskScore': 0}]",[30746],,True,True,False,True,True,True
ESP_Bilbao-13_20_T-1,30801,True,"[{'ObstacleID': '30801', 'OverallRiskScore': 0}]",[30801],30806,True,True,False,True,True,True
ESP_Bilbao-23_16_T-1,30921,False,[],[],30921,False,False,True,True,False,True
